epoch,loss,validation_loss,validation_accuracy,validation_macro_f1,learning_rate
1,1.1025733558643465,0.6560444758862866,0.7066326530612245,0.628192655140453,0.001
2,0.44071392538108883,0.41736344451806984,0.7964285714285714,0.7854159486207664,0.001
3,0.2800263580299627,0.3048025230363924,0.8663265306122448,0.8618638099316877,0.001
4,0.2113430309012665,0.3047950595617294,0.8678571428571429,0.8662064026472475,0.001
5,0.17264279356165527,0.3107757505713677,0.860204081632653,0.8586601331402427,0.001
6,0.1525935122980916,0.31720331977216565,0.8622448979591837,0.8604226165011716,0.001
7,0.1412009152442836,0.465175267400182,0.8204081632653061,0.8135311023783539,0.001
8,0.1306380466820578,0.3540226122250362,0.8530612244897959,0.8522953388497027,0.001
9,0.12787471021848898,0.30369846184490895,0.8760204081632653,0.8751829072674288,0.001
10,0.12235661173786537,0.3518027811520258,0.8642857142857143,0.8643827960449206,0.001
11,0.11789117741898719,0.3597704236832808,0.8698979591836735,0.8687279093360963,0.001
12,0.11244443503349401,0.3284525997328515,0.8709183673469387,0.8719599787378122,0.001
13,0.11117895646158948,0.3836317320249747,0.8663265306122448,0.8652436994425282,0.001
14,0.11321148275223614,0.3686838613870573,0.8744897959183674,0.8746978749271251,0.001
15,0.11161475316883902,0.32726805467272596,0.878061224489796,0.8800241665256556,0.001
16,0.10883166474630111,0.4465188851361448,0.8459183673469388,0.8429636722617951,0.001
17,0.10616309515225428,0.31165002603273917,0.8795918367346939,0.8827590233326233,0.001
18,0.10532242541673983,0.2399963359348476,0.9035714285714286,0.9061724546485393,0.001
19,0.10846485896174207,0.3648554352131121,0.8755102040816326,0.8781119296879573,0.001
20,0.10547852945080143,0.36589420239003945,0.8770408163265306,0.8784801217909127,0.001
21,0.10644136070762968,0.326685397955589,0.8806122448979592,0.882461394688118,0.001
22,0.10647885364311739,0.2949972841109396,0.8954081632653061,0.897229653235847,0.001
23,0.099952882316063,0.34419493816878494,0.8811224489795918,0.8827529540210833,0.001
24,0.09835399240697527,0.33708833960331597,0.8688775510204082,0.8694379078882314,0.001
25,0.09807761153897121,0.3974663853498024,0.8704081632653061,0.871222257900413,0.001
26,0.0953331674153444,0.38267023037330306,0.875,0.876680476333834,0.001
27,0.09669455210471012,0.33326287585101566,0.8709183673469387,0.8713658389791875,0.001
28,0.09822623069102403,0.30309731649253896,0.8846938775510204,0.8878161422496502,0.001
29,0.09540935190676404,0.3709157203808807,0.8668367346938776,0.8660289227729149,0.001
30,0.09980094072461482,0.4280063496857444,0.8770408163265306,0.8778224967106789,0.001
